mic,google_exchange_code,full_name
XNYS,NYSE,New York Stock Exchange
XNAS,NASDAQ,NASDAQ
XTSE,TSE,Toronto Stock Exchange
XCNQ,CNQ,Canadian Securities Exchange
XHEL,HEL,Nasdaq Helsinki
XETR,ETR,Xetra
XLON,LON,London Stock Exchange
